col_0,col_1,col_2,col_3,col_4,col_5
2,19,23,14,6,3
2,21,32,15,11,6
2,19,27,17,7,3
1,43,0,0,0,0
1,20,17,13,3,1
2,49,8,7,0,1
2,35,1,1,0,0
2,38,13,7,4,2
2,40,3,1,2,0
2,26,4,4,0,0
2,38,18,14,2,2
2,34,24,18,4,2
2,31,18,14,3,1
2,26,20,11,7,2
2,44,1,0,1,0
2,28,16,8,5,3
2,42,4,3,1,0
2,42,21,11,6,4
2,33,8,7,1,0
2,35,9,5,1,3
2,28,27,17,7,3
2,32,9,5,3,1
2,39,7,7,0,0
2,19,30,23,5,2
1,23,0,0,0,0
2,19,28,15,8,5
2,18,22,11,7,4
2,19,19,13,4,2
1,19,18,9,6,3
2,19,30,20,7,3
2,20,20,7,9,4
2,18,16,3,9,4
1,19,26,19,3,4
2,18,17,11,4,2
2,18,12,6,5,1
2,18,21,17,4,0
2,18,20,8,8,4
2,19,11,6,2,3
2,18,24,15,6,3
2,17,25,13,11,1
2,19,3,1,2,0
2,18,13,8,4,1
2,18,14,7,7,0
2,19,19,13,5,1
2,18,20,12,5,3
1,19,21,10,8,3
2,19,10,5,5,0
2,19,31,19,8,4
2,18,22,13,6,3
2,18,14,8,2,4
2,19,33,21,8,4
1,18,3,2,0,1
1,18,4,3,1,0
2,17,21,10,7,4
2,18,3,1,1,1
2,18,21,12,5,4
2,20,18,7,8,3
2,19,24,15,8,1
1,18,1,1,0,0
2,19,39,23,11,5
2,21,20,13,4,3
1,19,20,12,6,2
1,18,6,3,3,0
2,18,20,8,9,3
2,21,15,11,3,1
2,18,22,10,8,4
2,18,20,14,3,3
2,21,9,4,3,2
1,20,30,16,10,4
2,18,21,11,8,2
2,17,33,14,12,7
1,19,20,11,6,3
2,18,19,12,6,1
2,19,26,12,11,3
2,18,40,20,13,7
1,19,23,11,7,5
2,20,17,11,4,2
1,20,23,10,9,4
2,18,18,12,5,1
2,18,20,11,6,3
2,18,23,13,7,3
1,18,21,14,6,1
2,18,23,15,5,3
2,19,26,11,10,5
1,18,18,9,6,3
2,19,15,7,6,2
2,46,11,10,1,0
1,18,5,4,1,0
2,19,21,11,8,2
1,20,13,7,3,3
2,19,13,5,6,2
1,19,14,11,3,0
1,18,10,0,7,3
2,18,21,13,6,2
2,18,16,9,7,0
1,19,14,7,5,2
2,18,11,6,3,2
1,19,12,4,5,3
1,20,3,3,0,0
2,19,15,5,6,4
2,19,31,16,9,6
2,18,37,16,14,7
2,15,17,8,6,3
2,18,23,12,7,4
2,19,17,10,6,1
2,19,9,7,1,1
1,20,6,5,1,0
2,22,22,9,9,4
2,19,19,11,5,3
2,20,21,12,6,3
1,19,17,8,6,3
1,19,21,12,5,4
2,19,19,9,7,3
2,18,10,7,3,0
1,19,10,6,2,2
1,18,8,6,2,0
1,19,27,14,8,5
1,21,12,7,3,2
2,19,12,5,4,3
1,18,7,5,1,1
1,19,12,8,2,2
2,18,6,4,2,0
2,19,17,3,9,5
2,19,10,6,3,1
2,18,21,11,6,4
2,20,17,10,3,4
2,19,15,8,5,2
2,19,21,13,7,1
1,19,20,15,4,1
2,19,22,9,10,3
2,19,23,13,7,3
1,19,24,15,7,2
2,19,25,13,8,4
1,18,15,6,7,2
1,19,21,9,8,4
1,19,9,3,5,1
1,19,6,2,3,1
1,19,17,8,6,3
1,18,11,8,3,0
1,19,18,5,10,3
1,19,13,7,5,1
1,19,20,11,7,2
1,20,16,9,5,2
2,19,18,9,7,2
2,19,9,6,3,0
1,19,6,5,0,1
2,19,6,4,2,0
2,19,18,12,5,1
2,22,21,13,6,2
2,19,7,2,4,1
2,19,14,9,4,1
1,20,17,9,6,2
2,19,29,20,6,3
2,18,22,9,10,3
2,20,30,18,8,4
2,19,8,3,2,3
2,23,24,17,4,3
1,19,19,10,7,2
2,20,17,13,4,0
2,19,23,16,5,2
2,18,19,11,6,2
2,19,10,5,4,1
2,18,15,5,7,3
2,19,8,5,3,0
2,18,27,11,11,5
2,19,7,7,0,0
2,19,27,14,7,6
2,19,24,11,9,4
2,18,28,15,9,4
2,19,22,8,12,2
2,19,10,8,1,1
2,18,32,18,8,6
2,19,11,9,2,0
2,18,40,20,11,9
2,18,13,9,1,3
2,21,23,17,3,3
2,17,22,13,6,3
2,33,20,16,3,1
2,26,9,8,1,0
2,20,23,13,6,4
2,20,8,5,3,0
1,18,7,3,4,0
2,26,25,12,8,5
2,19,34,19,13,2
2,18,10,6,4,0
2,19,19,10,7,2
2,20,14,9,2,3
2,19,26,13,8,5
2,34,20,9,8,3
2,19,30,15,10,5
2,19,10,6,3,1
2,17,16,7,7,2
2,17,15,10,3,2
2,19,12,6,5,1
2,19,31,15,9,7
2,19,29,16,9,4
2,19,32,13,12,7
2,19,10,6,3,1
2,19,30,20,6,4
2,18,25,19,4,2
2,32,10,7,0,3
2,18,32,18,9,5
2,19,10,5,4,1
2,18,26,16,6,4
2,19,32,19,9,4
2,18,28,15,7,6
2,19,9,9,0,0
1,18,11,4,5,2
2,19,8,6,2,0
2,19,16,8,6,2
2,18,12,5,4,3
2,19,17,8,6,3
1,38,16,5,8,3
1,48,12,3,8,1
2,33,15,8,5,2
1,18,12,7,4,1
1,18,13,5,7,1
2,36,12,6,5,1
1,18,21,10,8,3
1,18,16,13,1,2
2,18,33,17,12,4
2,26,5,2,1,2
2,38,4,2,2,0
2,33,22,17,2,3
2,19,16,11,5,0
2,44,23,14,7,2
2,33,8,4,3,1
2,66,12,5,5,2
2,18,14,8,4,2
2,19,20,11,8,1
1,19,11,7,2,2
1,24,9,8,0,1
2,19,20,15,4,1
2,18,28,15,9,4
2,19,6,4,1,1
2,19,21,13,5,3
2,19,10,8,1,1
2,20,20,11,6,3
1,18,8,3,5,0
1,30,21,13,7,1
2,18,14,6,5,3
1,19,17,10,5,2
1,30,19,10,6,3
2,44,24,13,9,2
1,19,1,0,0,1
1,19,25,10,9,6
1,18,16,5,9,2
1,19,5,2,0,3
2,19,32,20,7,5
1,53,17,12,4,1
1,19,18,11,7,0
1,18,8,2,6,0
2,18,29,15,10,4
1,37,13,7,5,1
2,19,34,19,10,5
1,18,5,5,0,0
1,22,8,7,1,0
1,25,13,9,2,2
1,32,18,11,6,1
2,20,37,22,10,5
2,20,11,5,5,1
1,18,6,6,0,0
1,18,6,5,1,0
1,23,21,17,3,1
1,45,13,7,5,1
1,19,22,16,3,3
1,19,22,13,6,3
1,18,10,8,2,0
1,33,3,0,3,0
2,19,19,15,2,2
1,18,18,7,7,4
1,63,10,8,2,0
2,19,18,9,5,4
2,20,14,12,1,1
2,21,27,12,10,5
2,47,7,5,0,2
1,20,19,12,5,2
1,19,2,1,1,0
2,22,23,12,7,4
2,22,24,16,7,1
2,21,17,11,5,1
2,22,32,17,10,5
2,21,19,12,4,3
2,25,20,12,5,3
2,21,15,6,6,3
2,21,23,13,6,4
2,22,27,11,12,4
1,19,16,10,4,2
1,19,19,6,11,2
1,20,15,6,6,3
1,20,17,5,7,5
1,19,8,7,1,0
